quantity	in_scope	reason
core_hr_basal_gis_score_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_basal_sbs3_exposure_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_basal_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_basal_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_basal_joint_vs_marginal_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_wt_lost_direction_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_gis_score_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_sbs3_exposure_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_joint_vs_marginal_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_wt_lost_direction_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_gis_score_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_sbs3_exposure_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_joint_LR	TRUE	newly reachable under PROPOSED_PROTOCOL_AMENDMENT.md's estimator (REACHABILITY_TABLE.tsv: NEWLY_REACHABLE) -- recovered by this production_v2 run as the PAM50-prevalence-weighted mixture estimand (matching SIMULATED_TRUTH.tsv's own pooled-quantity definition), CV-selected lambda, B=2000.
ddr_signaling_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_joint_vs_marginal_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_luma_wt_lost_direction_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_luma_gis_score_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_luma_sbs3_exposure_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_luma_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_luma_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_luma_joint_vs_marginal_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_lumb_wt_lost_direction_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_lumb_gis_score_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_lumb_sbs3_exposure_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_lumb_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_lumb_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_lumb_joint_vs_marginal_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_her2e_wt_lost_direction_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_her2e_gis_score_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_her2e_sbs3_exposure_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_her2e_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_her2e_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_her2e_joint_vs_marginal_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_basal_wt_lost_direction_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_basal_gis_score_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_basal_sbs3_exposure_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_basal_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_basal_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_basal_joint_vs_marginal_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_normal_like_wt_lost_direction_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_normal_like_gis_score_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_normal_like_sbs3_exposure_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_normal_like_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_normal_like_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_normal_like_joint_vs_marginal_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_full_vector_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_full_vector_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_full_vector_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_luma_full_vector_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_luma_full_vector_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_luma_full_vector_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_lumb_full_vector_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_lumb_full_vector_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_lumb_full_vector_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_her2e_full_vector_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_her2e_full_vector_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_her2e_full_vector_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_basal_full_vector_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_basal_full_vector_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_basal_full_vector_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_normal_like_full_vector_joint_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_normal_like_full_vector_product_of_marginals_LR	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
null_arm_normal_like_full_vector_inflation_ratio	FALSE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
