parameter_name	value	source_type	source_reference	rationale
DEPTH_BINS	LOW=[25,45), MID=[45,75), HIGH=[75,120)	ARBITRARY	n/a	NEW (v2, DEFECT 1): the depth axis of the coverage grid, restricted to the evaluable range (>= MIN_EVALUABLE_DEPTH=20, with a small margin so LOW-bin draws don't land right at the floor by chance). AMBIGUOUS_DEPTH_RANGE and NOT_EVALUABLE_DEPTH_RANGE (below) cover the near-floor and sub-floor regimes separately, by design -- see SIMULATED_data/SIMULATED_coverage_report.tsv's OUT_OF_SCOPE declarations for those categories within this grid.
MIN_PER_CELL_GRID	5	ARBITRARY	n/a	NEW (v2, DEFECT 1's ACCEPTANCE requirement): minimum instances required per (category, purity_bin, depth_bin, arm, class) cell before that cell counts as adequately covered. A small, round, pre-declared number -- not tuned to this run's actual achieved counts (DRAWS_PER_GRID_CELL, below, was the number iterated on to reliably clear this floor).
DRAWS_PER_GRID_CELL	200	ARBITRARY	n/a	NEW (v2): raw draws per grid cell. Chosen bottom-up so all 4 grid categories (RETENTION, CN_NEUTRAL_LOH_WT_LOSS, WT_LOSS, VARIANT_LOSS) clear MIN_PER_CELL_GRID with high probability given this model's class-conditional category probabilities (verified empirically: 0/540 in-scope cells fall short this run) -- NOT picked to match realistic Track B class sizes, which are far smaller (see BRCA_PREV01/DDR_PREV01 below and SIMULATION_SPEC.md §6 for the full contrast and justification). Iterating this constant upward until the coverage requirement is reliably met is a sample-size/power decision, not a tuning of any scientific result.
AMBIGUOUS_DEPTH_RANGE	[20, 35)	ARBITRARY	n/a	NEW (v2, DEFECT 2): near-evaluable-floor depth range for the redesigned AMBIGUOUS category (real hidden-direction target VAF, not the v1 midpoint construction) -- deliberately close to MIN_EVALUABLE_DEPTH=20 so the binomial test is genuinely, not artificially, underpowered.
NOT_EVALUABLE_DEPTH_RANGE	[4, 19]	ARBITRARY	n/a	Sub-floor depth range (below MIN_EVALUABLE_DEPTH=20, by construction). Unchanged in spirit from v1.
MIN_PER_CELL_SIDE_ARM	8	ARBITRARY	n/a	NEW (v2): minimum/actual instances per (purity_bin, arm, class) cell for the AMBIGUOUS and NOT_EVALUABLE side-arm allocations (these categories are defined outside the main evaluable-depth grid, see DEPTH_BINS above).
Z_SD	1.0	ARBITRARY	n/a	NEW (v2, DEFECT 3/4): fixed standard deviation of the shared latent HR-deficiency variable Z, held identical across every arm and class so that only Z's MEAN (below) carries the class/arm signal -- keeps the one-factor model's scale consistent and interpretable.
Z_MEAN.CORE_HR.Pathogenic	1.5	ARBITRARY	n/a	NEW (v2): latent-Z class mean for CORE_HR Pathogenic. Chosen (with the paired Benign value) to produce real, substantial class separation and a non-trivial joint-vs-marginal inflation ratio; not fit to reproduce any prior run's output (see V1_NUMERIC_SCAN.tsv's Tier-1 check).
Z_MEAN.CORE_HR.Benign	-1.0	ARBITRARY	n/a	Paired with the row above.
Z_MEAN.DDR_SIGNALING.Pathogenic	0.8	ARBITRARY	n/a	Latent-Z class mean for DDR_SIGNALING Pathogenic -- deliberately smaller class separation than CORE_HR's, mirroring v1's precedent of DDR_SIGNALING carrying weaker evidence than CORE_HR.
Z_MEAN.DDR_SIGNALING.Benign	-0.5	ARBITRARY	n/a	Paired with the row above.
Z_MEAN.NULL_ARM.Pathogenic	0.0	ARBITRARY	n/a	DEFECT 4's exact-null mechanism: IDENTICAL to Z_MEAN.NULL_ARM.Benign (both 0.0) -- this equality is the entire construction that forces the true joint LR to be exactly 1.0 for every evidence vector (proof in SIMULATION_SPEC.md §5), not an approximation.
Z_MEAN.NULL_ARM.Benign	0.0	ARBITRARY	n/a	Identical to Z_MEAN.NULL_ARM.Pathogenic by design -- see that row.
WT_LOST_LINK.CORE_HR	a=-0.3, b=1.0	ARBITRARY	n/a	Probit-link coefficients for P(WT_LOST_DIRECTION|Z) = Phi(a+b*Z). Combined with Z_MEAN.CORE_HR, gives marginal P(WT_LOST|Pathogenic)=0.802, P(WT_LOST|Benign)=0.179 (computed via the Gaussian-probit convolution identity, SIMULATION_SPEC.md §3.1) -- chosen to give real, checkable class separation, not tuned to any specific prior LR value.
WT_LOST_LINK.DDR_SIGNALING	a=-0.5, b=0.7	ARBITRARY	n/a	Weaker loading/intercept than CORE_HR's, mirroring the same weaker-evidence precedent as Z_MEAN.DDR_SIGNALING.
WT_LOST_LINK.NULL_ARM	a=-0.5, b=0.7	ARBITRARY	n/a	Identical to WT_LOST_LINK.DDR_SIGNALING -- NULL_ARM is a "DDR-signaling-analogue," differing from DDR_SIGNALING only in Z_MEAN (see DEFECT 4).
GIS_LINK.CORE_HR	c=30.0, d=12.0, sigma=8.0	ARBITRARY	n/a	GIS = c + d*Z + Normal(0,sigma). Chosen so CORE_HR Pathogenic samples' GIS distribution (marginal mean ~48, see SIMULATION_SPEC.md §3.1) sits comfortably above BENCHMARKS.tsv HRD03's GIS>=42 HRD-positive threshold, while Benign sits below it.
GIS_LINK.DDR_SIGNALING	c=25.0, d=8.0, sigma=10.0	ARBITRARY	n/a	Weaker loading than CORE_HR's, same precedent as above.
GIS_LINK.NULL_ARM	c=25.0, d=8.0, sigma=10.0	ARBITRARY	n/a	Identical to GIS_LINK.DDR_SIGNALING -- see DEFECT 4 / NULL_ARM rationale.
SBS3_LINK.CORE_HR	c=0.15, d=0.12, sigma=0.08	ARBITRARY	n/a	SBS3 = c + d*Z + Normal(0,sigma), clipped [0,0.95]. Chosen to give CORE_HR Pathogenic samples a materially higher SBS3-like exposure than Benign, evaluated at EVAL_POINT.sbs3=0.30.
SBS3_LINK.DDR_SIGNALING	c=0.12, d=0.08, sigma=0.08	ARBITRARY	n/a	Weaker loading than CORE_HR's, same precedent as above.
SBS3_LINK.NULL_ARM	c=0.12, d=0.08, sigma=0.08	ARBITRARY	n/a	Identical to SBS3_LINK.DDR_SIGNALING -- see DEFECT 4 / NULL_ARM rationale.
SBS3_CLIP_LO	0.0	ARBITRARY	n/a	P06R3: named constant (was a bare inline literal 0.0 in _emit_sample()'s clip call before this fix; unchanged numeric value). A relative-exposure fraction cannot be negative. P06R3's FIDELITY_AUDIT.md establishes this clip does not affect any currently-computed truth quantity (EVAL_POINT.sbs3=0.30 is interior to [SBS3_CLIP_LO, SBS3_CLIP_HI] for every class), but the bound now has a name shared between the generative draw and the new sbs3_clipped_density() analytic function specifically so the two cannot silently drift apart in a future change.
SBS3_CLIP_HI	0.95	ARBITRARY	n/a	P06R3: named constant (was a bare inline literal 0.95 in _emit_sample()'s clip call before this fix; unchanged numeric value). Leaves a small margin below 1.0 so at least some background-process mutations are always representable in the exposure fraction, rather than allowing a sample to be assigned 100% HRD-process mutations. Same shared-naming rationale as SBS3_CLIP_LO above.
hrd_shape	real COSMIC v3.6 SBS3 weight vector (96 contexts)	INSTALLED_PACKAGE_DATA	COSMIC_SBS3_SBS5_v3.6_reference.tsv (SBS3 column)	P06R2 fix: the 96-context shape mutations attributable to the "HRD process" are distributed across, when building SIMULATED_mutation_catalogs.tsv. Was ARBITRARY (v1/v2's _make_shape, C>T-favored) until P08 found it was less similar to real SBS3 (cos=0.688) than to real SBS5 (cos=0.802) -- not actually SBS3-shaped. Now the real vector itself, extracted live from the installed, GATE1.json-verified SigProfilerAssignment 1.1.5 package (COSMIC version 3.6, PROTOCOL.md §5.4's pinned bundled default). No hand-tuning.
background_shape	real COSMIC v3.6 SBS5 weight vector (96 contexts)	INSTALLED_PACKAGE_DATA	COSMIC_SBS3_SBS5_v3.6_reference.tsv (SBS5 column)	P06R2 fix, paired with hrd_shape above -- same extraction, same file, SBS5 column. SBS5 chosen (unchanged from the original design's intent) as a common, ubiquitous background/clock-like process real cosine-similar to SBS3 (0.7928), which is exactly the confusability property that made this feature scientifically interesting to test in the first place.
COSINE_SIM_TO_REAL_SBS3_FLOOR	0.999	ARBITRARY	n/a	P06R2 acceptance floor: hrd_shape is constructed to BE the real COSMIC SBS3 vector exactly, so a live re-extraction from the installed package must round-trip to this vector at essentially 1.0 cosine similarity (floor allows only floating-point noise, not a "chosen to pass" tolerance). Checked by scripts/check_p06r2_acceptance.py against a fresh docker-side extraction, not at simulate.py runtime (see SIMULATION_SPEC.md §3.1).
COSINE_SIM_TO_REAL_SBS5_BAND	[0.78, 0.81]	ARBITRARY	n/a	P06R2 acceptance band, centered on the real, fixed COSMIC v3.6 SBS3-vs-SBS5 cosine similarity (0.7928, computed from COSMIC_SBS3_SBS5_v3.6_reference.tsv -- there is no independent literature source for this exact number beyond COSMIC's own reference matrix, which is authoritative here). Guards against "fixing" the shape defect in the opposite direction (an unrealistically separable target) -- checked at simulate.py runtime in build_signature_shapes().
NOT_WT_LOST_SPLIT	RETENTION=0.6, VARIANT_LOSS=0.4	ARBITRARY	n/a	NEW (v2): given a sample's direction draw is NOT WT-lost, the split between RETENTION and VARIANT_LOSS. Not Z-linked (an engineering simplification -- only the 3 headline evidence features described in PROTOCOL.md §6 are Z-linked); a simple, disclosed, class/arm-independent constant.
MECHANISM_SPLIT_DELETION_PROB	0.65	ARBITRARY	n/a	NEW (v2, DEFECT 1): given a loss direction (WT-lost or variant-lost), the probability the mechanism is a genuine deletion (n_t=1) rather than copy-neutral LOH. Weighted above 50% because large-scale copy-number loss is the more commonly reported real-world second-hit mechanism, and because DEFECT 1 specifically requires robust deletion-type representation; not tuned to hit any specific downstream count (DRAWS_PER_GRID_CELL was the parameter iterated for that).
EVAL_POINT.wt_lost	1	ARBITRARY	n/a	Fixed evaluation point for the joint/marginal/inflation-ratio quantities, chosen in advance (Standing Rule 2: not searched for after seeing data). wt_lost=1 represents "WT-loss direction was observed," the evidence-positive case.
EVAL_POINT.gis	42.0	BENCHMARKS_ROW	HRD03	Ties the evaluation point directly to a real, cited GIS-positive threshold (Telli et al. 2016) rather than an arbitrary round number or a per-arm "at the pathogenic mean" choice (v1's approach).
EVAL_POINT.sbs3	0.30	ARBITRARY	n/a	A round, pre-declared SBS3-exposure evaluation point, chosen before any joint/marginal LR was computed.
N_BAF_SNPS	15	ARBITRARY	n/a	NEW (v2, DEFECT 2): number of flanking heterozygous SNPs pooled per segment for the BAF channel. A round number giving a materially lower-variance BAF estimate than any single SNP or the at-risk variant's own single read count, without generating an implausibly large per-segment SNP panel.
BAF_SNP_DEPTH_MEAN	60.0	ARBITRARY	n/a	Representative per-SNP tumor sequencing depth for the BAF channel (a separate measurement from the at-risk variant's own depth). A plausible generic exome/WGS coverage figure, not itself claimed to be a published value.
NORMAL_BAF_DEPTH_MEAN	40.0	ARBITRARY	n/a	Same value as NORMAL_DEPTH_MEAN, reused for consistency; representative normal-sample depth at the flanking BAF SNPs.
RETRACTED_V1_FIGURES	-3.54, 34.0, 0.9598, 0.9976, 15.13, 4.45, 0.99, 80.0, 91.7	PROVIDED_BY_TASK	the invoking task instruction (this session), not independently retrieved	These are the specific retracted v1 figures the invoking task instruction supplied directly, to be scanned against every emitted numeric value (see V1_NUMERIC_SCAN.tsv). Not a simulator design parameter and not independently sourced by this session -- recorded here for full transparency about where the comparison target came from, per Standing Rule 3's spirit (never silently omit where a compared-against number originated).
V1_SCAN_REL_TOL	0.001	ARBITRARY	n/a	Relative tolerance for the v1 numeric scan (0.1%) -- tight enough to catch genuine reproduction of a retracted figure, loose enough to allow for repr()/rounding artifacts in how a value is written to a TSV.
V1_SCAN_ABS_TOL	1e-06	ARBITRARY	n/a	Absolute tolerance companion to V1_SCAN_REL_TOL, needed for comparisons involving values near zero where a pure relative tolerance is undefined/unstable.
