quantity	in_scope	reason
core_hr_her2e_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
core_hr_her2e_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
core_hr_her2e_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
core_hr_basal_wt_lost_direction_LR	TRUE	this caller's own deliverable (subtype-stratified): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls, restricted to this PAM50 subtype -- new in-scope target this task, per P06R4's subtype-latent wiring
core_hr_basal_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
core_hr_basal_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
core_hr_basal_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
core_hr_basal_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
core_hr_basal_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
core_hr_normal_like_wt_lost_direction_LR	TRUE	this caller's own deliverable (subtype-stratified): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls, restricted to this PAM50 subtype -- new in-scope target this task, per P06R4's subtype-latent wiring
core_hr_normal_like_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
core_hr_normal_like_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
core_hr_normal_like_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
core_hr_normal_like_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
core_hr_normal_like_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
ddr_signaling_wt_lost_direction_LR	TRUE	this caller's own deliverable (pooled): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls
ddr_signaling_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
ddr_signaling_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
ddr_signaling_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
ddr_signaling_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
ddr_signaling_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
ddr_signaling_luma_wt_lost_direction_LR	TRUE	this caller's own deliverable (subtype-stratified): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls, restricted to this PAM50 subtype -- new in-scope target this task, per P06R4's subtype-latent wiring
ddr_signaling_luma_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
ddr_signaling_luma_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
ddr_signaling_luma_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
ddr_signaling_luma_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
ddr_signaling_luma_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
ddr_signaling_lumb_wt_lost_direction_LR	TRUE	this caller's own deliverable (subtype-stratified): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls, restricted to this PAM50 subtype -- new in-scope target this task, per P06R4's subtype-latent wiring
ddr_signaling_lumb_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
ddr_signaling_lumb_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
ddr_signaling_lumb_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
ddr_signaling_lumb_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
ddr_signaling_lumb_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
ddr_signaling_her2e_wt_lost_direction_LR	TRUE	this caller's own deliverable (subtype-stratified): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls, restricted to this PAM50 subtype -- new in-scope target this task, per P06R4's subtype-latent wiring
ddr_signaling_her2e_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
ddr_signaling_her2e_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
ddr_signaling_her2e_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
ddr_signaling_her2e_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
ddr_signaling_her2e_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
ddr_signaling_basal_wt_lost_direction_LR	TRUE	this caller's own deliverable (subtype-stratified): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls, restricted to this PAM50 subtype -- new in-scope target this task, per P06R4's subtype-latent wiring
ddr_signaling_basal_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
ddr_signaling_basal_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
ddr_signaling_basal_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
ddr_signaling_basal_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
ddr_signaling_basal_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
ddr_signaling_normal_like_wt_lost_direction_LR	TRUE	this caller's own deliverable (subtype-stratified): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls, restricted to this PAM50 subtype -- new in-scope target this task, per P06R4's subtype-latent wiring
ddr_signaling_normal_like_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
ddr_signaling_normal_like_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
ddr_signaling_normal_like_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
ddr_signaling_normal_like_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
ddr_signaling_normal_like_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
null_arm_full_vector_joint_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_full_vector_product_of_marginals_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_full_vector_inflation_ratio	FALSE	downstream of the NULL_ARM full_vector_joint_LR/product_of_marginals_LR pair, both out of scope
null_arm_luma_full_vector_joint_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_luma_full_vector_product_of_marginals_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_luma_full_vector_inflation_ratio	FALSE	downstream of the NULL_ARM full_vector_joint_LR/product_of_marginals_LR pair, both out of scope
null_arm_lumb_full_vector_joint_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_lumb_full_vector_product_of_marginals_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_lumb_full_vector_inflation_ratio	FALSE	downstream of the NULL_ARM full_vector_joint_LR/product_of_marginals_LR pair, both out of scope
null_arm_her2e_full_vector_joint_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_her2e_full_vector_product_of_marginals_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_her2e_full_vector_inflation_ratio	FALSE	downstream of the NULL_ARM full_vector_joint_LR/product_of_marginals_LR pair, both out of scope
null_arm_basal_full_vector_joint_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_basal_full_vector_product_of_marginals_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_basal_full_vector_inflation_ratio	FALSE	downstream of the NULL_ARM full_vector_joint_LR/product_of_marginals_LR pair, both out of scope
null_arm_normal_like_full_vector_joint_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_normal_like_full_vector_product_of_marginals_LR	FALSE	NULL_ARM full-feature-vector quantity requiring GIS/SBS3 features this LOH caller does not compute
null_arm_normal_like_full_vector_inflation_ratio	FALSE	downstream of the NULL_ARM full_vector_joint_LR/product_of_marginals_LR pair, both out of scope
null_sequencing_depth_bucket_LR	FALSE	an engineered-null depth-bucket feature unrelated to LOH direction; not this caller's estimand
